,Year,Annual CPI
0,1913,9.8
1,1914,10.0
2,1915,10.1
3,1916,10.4
4,1917,11.7
5,1918,14.0
6,1919,16.5
7,1920,19.3
8,1921,19.0
9,1922,16.9
10,1923,16.8
11,1924,17.3
12,1925,17.3
13,1926,17.9
14,1927,17.5
15,1928,17.3
16,1929,17.1
17,1930,17.1
18,1931,15.9
19,1932,14.3
20,1933,12.9
21,1934,13.2
22,1935,13.6
23,1936,13.8
24,1937,14.1
25,1938,14.2
26,1939,14.0
27,1940,13.9
28,1941,14.1
29,1942,15.7
30,1943,16.9
31,1944,17.4
32,1945,17.8
33,1946,18.2
34,1947,21.5
35,1948,23.7
36,1949,24.0
37,1950,23.5
38,1951,25.4
39,1952,26.5
40,1953,26.6
41,1954,26.9
42,1955,26.7
43,1956,26.8
44,1957,27.6
45,1958,28.6
46,1959,29.0
47,1960,29.3
48,1961,29.8
49,1962,30.0
50,1963,30.4
51,1964,30.9
52,1965,31.2
53,1966,31.8
54,1967,32.9
55,1968,34.1
56,1969,35.6
57,1970,37.8
58,1971,39.8
59,1972,41.1
60,1973,42.6
61,1974,46.6
62,1975,52.1
63,1976,55.6
64,1977,58.5
65,1978,62.5
66,1979,68.3
67,1980,77.8
68,1981,87.0
69,1982,94.3
70,1983,97.8
71,1984,101.9
72,1985,105.5
73,1986,109.6
74,1987,111.2
75,1988,115.7
76,1989,121.1
77,1990,127.4
78,1991,134.6
79,1992,138.1
80,1993,142.6
81,1994,146.2
82,1995,150.3
83,1996,154.4
84,1997,159.1
85,1998,161.6
86,1999,164.3
87,2000,168.8
88,2001,175.1
89,2002,177.1
90,2003,181.7
91,2004,185.2
92,2005,190.7
93,2006,198.3
94,2007,202.4
95,2008,211.1
96,2009,211.143
97,2010,216.687
98,2011,220.223
99,2012,226.655
100,2013,230.280
101,2014,233.916
102,2015,233.707
103,2016,236.916
104,2017,242.839
105,2018,247.867
106,2019,251.712
107,2020,257.971
108,2021,261.582
